trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,TYPE,bonf_significant,rank,Cluster ID
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster251,251,MGE_251,MGE interneuron,NEUR,,"Cerebral cortex: 94.0%, Hippocampus: 2.5%, Basal forebrain: 2.4%",,,16231,53.233,0.083202,7.8002,4.6165e-12,11.335687160103358,True,1,True,1.0,COVAR,True,1,251.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster228,228,EMSN_228,Eccentric medium spiny neuron,NEUR,,"Amygdala: 83.7%, Cerebral cortex: 12.2%, Thalamus: 1.9%",,,16231,60.563,0.076876,9.2745,3.4165e-11,10.466418574941294,True,2,True,2.0,COVAR,True,2,228.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster286,286,CGE_286,CGE interneuron,NEUR,,"Cerebral cortex: 70.6%, Hippocampus: 13.8%, Amygdala: 10.2%",,,16231,54.555,0.077733,8.4869,6.6972e-11,10.174106731435716,True,3,True,3.0,COVAR,True,3,286.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster132,132,Misc_132,Miscellaneous,NEUR,,"Cerebral cortex: 98.4%, Hippocampus: 0.8%, Midbrain: 0.8%",,,16231,44.789,0.071293,7.2917,4.1896e-10,9.37782743910657,True,4,True,4.0,COVAR,True,4,132.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster231,231,EMSN_231,Eccentric medium spiny neuron,NEUR,,"Amygdala: 60.2%, Basal forebrain: 16.4%, Cerebral cortex: 13.7%",,,16231,54.204,0.072273,8.9527,7.2527e-10,9.139500286282795,True,5,False,,COVAR,True,5,231.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster242,242,MGE_242,MGE interneuron,NEUR,,"Cerebral cortex: 90.8%, Hippocampus: 4.6%, Basal forebrain: 1.8%",,,16231,56.024,0.071657,9.3341,1.0014e-09,8.999392412937109,True,6,False,,COVAR,True,6,242.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster278,278,CGE_278,CGE interneuron,NEUR,,"Cerebral cortex: 78.0%, Amygdala: 10.4%, Hippocampus: 8.1%",,,16231,49.76,0.071777,8.4133,1.7099e-09,8.76702928768861,True,7,False,,COVAR,True,7,278.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster233,233,EMSN_233,Eccentric medium spiny neuron,NEUR,,"Amygdala: 73.7%, Thalamus: 9.5%, Hypothalamus: 5.8%",,,16231,51.115,0.067942,8.8411,3.7929e-09,8.421028607342212,True,8,False,,COVAR,True,8,233.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster288,288,CGE_288,CGE interneuron,NEUR,,"Cerebral cortex: 70.6%, Amygdala: 13.7%, Hippocampus: 6.3%",,,16231,50.02,0.070297,8.6561,3.8589e-09,8.413536475642363,True,9,False,,COVAR,True,9,288.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster283,283,CGE_283,CGE interneuron,NEUR,,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%",,,16231,50.624,0.069012,8.8562,5.5718e-09,8.254004480987353,True,10,False,,COVAR,True,10,283.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster234,234,EMSN_234,Eccentric medium spiny neuron,NEUR,,"Amygdala: 75.9%, Cerebral cortex: 14.6%, Thalamus: 5.4%",,,16231,54.753,0.067924,9.5801,5.6038e-09,8.251517373109026,True,11,False,,COVAR,True,11,234.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster424,424,Splat_424,Splatter,NEUR,,"Amygdala: 34.9%, Hypothalamus: 32.8%, Thalamus: 29.6%",,,16231,56.354,0.065379,10.044,1.0285e-08,7.987795703969257,True,12,False,,COVAR,True,12,424.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster426,426,EMSN_426,Eccentric medium spiny neuron,NEUR,,"Amygdala: 81.9%, Cerebral cortex: 10.0%, Thalamus: 3.2%",,,16231,57.31,0.063251,10.675,4.0419e-08,7.39341443549796,True,13,False,,COVAR,True,13,426.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster252,252,MGE_252,MGE interneuron,NEUR,,"Cerebral cortex: 85.8%, Hippocampus: 8.0%, Basal forebrain: 3.6%",,,16231,44.679,0.065522,8.4636,6.6074e-08,7.179969400996378,True,14,False,,COVAR,True,14,252.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster140,140,DLIT_140,Deep-layer intratelencephalic,NEUR,,"Cerebral cortex: 99.2%, Hippocampus: 0.5%, Basal forebrain: 0.2%",,,16231,45.638,0.06284,8.7196,8.4333e-08,7.074002450126216,True,15,False,,COVAR,True,15,140.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster294,294,CGE_294,CGE interneuron,NEUR,,"Cerebral cortex: 64.4%, Hippocampus: 14.7%, Amygdala: 10.8%",,,16231,44.118,0.061379,8.5108,1.1048e-07,6.956716334429425,True,16,False,,COVAR,True,16,294.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster389,389,Splat_389,Splatter,NEUR,,"Pons: 67.3%, Midbrain: 29.6%, Thalamus: 2.4%",,,16231,41.588,0.061212,8.0652,1.2777e-07,6.893571105206589,True,17,True,5.0,COVAR,True,17,389.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster428,428,Splat_428,Splatter,NEUR,,"Basal forebrain: 59.7%, Amygdala: 16.1%, Hypothalamus: 13.8%",,,16231,46.808,0.059952,9.155,1.6108e-07,6.792958379064606,True,18,True,6.0,COVAR,True,18,428.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster287,287,CGE_287,CGE interneuron,NEUR,,"Cerebral cortex: 53.6%, Amygdala: 17.5%, Hippocampus: 15.0%",,,16231,36.822,0.060106,7.3146,2.4345e-07,6.613590221118087,True,19,False,,COVAR,True,19,287.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster293,293,CGE_293,CGE interneuron,NEUR,,"Cerebral cortex: 70.3%, Hippocampus: 15.1%, Amygdala: 8.5%",,,16231,36.851,0.059217,7.342,2.6304e-07,6.579978204140043,True,20,False,,COVAR,True,20,293.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster141,141,DLIT_141,Deep-layer intratelencephalic,NEUR,,"Cerebral cortex: 95.4%, Basal forebrain: 2.0%, Hippocampus: 1.4%",,,16231,41.214,0.059356,8.2999,3.4699e-07,6.459683041080592,True,21,False,,COVAR,True,21,141.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster229,229,EMSN_229,Eccentric medium spiny neuron,NEUR,,"Amygdala: 56.1%, Basal forebrain: 28.8%, Cerebral cortex: 11.2%",,,16231,40.597,0.056409,8.3165,5.3302e-07,6.273256495050951,True,22,False,,COVAR,True,22,229.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster133,133,ULIT_133,Upper-layer intratelencephalic,NEUR,,"Cerebral cortex: 100.0%, Basal forebrain: 0.0%, Hypothalamus: 0.0%",,,16231,45.431,0.058392,9.3236,5.5731e-07,6.253903164182531,True,23,False,,COVAR,True,23,133.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster280,280,CGE_280,CGE interneuron,NEUR,,"Cerebral cortex: 73.7%, Amygdala: 13.3%, Hippocampus: 7.8%",,,16231,42.068,0.058728,8.6582,5.981e-07,6.223226197587893,True,24,False,,COVAR,True,24,280.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster422,422,Splat_422,Splatter,NEUR,,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%",,,16231,44.528,0.056907,9.2609,7.7046e-07,6.11324990364279,True,25,False,,COVAR,True,25,422.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster239,239,MGE_239,MGE interneuron,NEUR,,"Cerebral cortex: 95.4%, Hippocampus: 1.5%, Basal forebrain: 1.2%",,,16231,43.296,0.058152,9.0224,8.0771e-07,6.092744540223866,True,26,False,,COVAR,True,26,239.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster273,273,LLC_273,LAMP5-LHX6 and Chandelier,NEUR,,"Amygdala: 44.9%, Cerebral cortex: 33.4%, Hippocampus: 7.3%",,,16231,43.757,0.05841,9.1583,8.961e-07,6.047643522676209,True,27,False,,COVAR,True,27,273.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster177,177,Misc_177,Miscellaneous,NEUR,,"Hippocampus: 68.2%, Midbrain: 20.5%, Cerebral cortex: 10.8%",,,16231,40.321,0.056509,8.5133,1.101e-06,5.9582126810282485,True,28,False,,COVAR,True,28,177.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster296,296,CGE_296,CGE interneuron,NEUR,,"Cerebral cortex: 72.9%, Amygdala: 10.5%, Hippocampus: 9.0%",,,16231,35.06,0.054382,7.4919,1.452e-06,5.838033383635925,True,29,False,,COVAR,True,29,296.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster396,396,Splat_396,Splatter,NEUR,,"Pons: 66.2%, Midbrain: 31.2%, Hypothalamus: 1.2%",,,16231,31.596,0.054827,6.7734,1.562e-06,5.806318970458719,True,30,False,,COVAR,True,30,396.0
bmi_yengo2018,BMI,metabolic / brain-direct,Cluster230,230,EMSN_230,Eccentric medium spiny neuron,NEUR,,"Amygdala: 41.5%, Basal forebrain: 26.8%, Cerebral cortex: 15.8%",,,16231,37.334,0.056059,8.0352,1.7072e-06,5.767715597919605,True,31,False,,COVAR,True,31,230.0
